xuhao	word	cx	cishu	cipin
    442	创造	v	372	    0.3031
    443	哪	r	371	    0.3023
    444	天	n	371	    0.3023
    445	一定	d	371	    0.3023
    446	了	v	370	    0.3015
    447	发生	v	370	    0.3015
    448	卖	v	369	    0.3007
    449	那	c	366	    0.2982
    450	体育	n	366	    0.2982
    451	影响	v	365	    0.2974
    452	促进	v	365	    0.2974
    453	应该	v	365	    0.2974
    454	关于	p	364	    0.2966
    455	过去	n	363	    0.2958
    456	连	p	363	    0.2958
    457	正在	d	363	    0.2958
    458	发	v	362	    0.2950
    459	山	n	362	    0.2950
    460	书记	n	362	    0.2950
    461	组织	v	360	    0.2934
    462	决定	v	360	    0.2934
    463	以后	n	360	    0.2934
    464	人才	n	360	    0.2934
    465	应当	v	357	    0.2909
    466	以及	c	357	    0.2909
    467	对	a	356	    0.2901
    468	啥	r	355	    0.2893
    469	难	a	353	    0.2877
    470	大学	n	353	    0.2877
    471	结构	n	353	    0.2877
    472	同时	n	352	    0.2868
    473	届	q	352	    0.2868
    474	喝	v	350	    0.2852
    475	像	p	350	    0.2852
    476	学生	n	349	    0.2844
    477	身	n	346	    0.2820
    478	有的	r	345	    0.2811
    479	爸爸	n	344	    0.2803
    480	妇女	n	344	    0.2803
    481	啊	e	343	    0.2795
    482	拉	v	342	    0.2787
    483	分之	m	342	    0.2787
    484	重大	a	341	    0.2779
    485	建	v	340	    0.2771
    486	张	q	340	    0.2771
    487	之后	n	339	    0.2762
    488	大家	r	337	    0.2746
    489	觉得	v	336	    0.2738
    490	会	n	336	    0.2738
    491	当时	n	335	    0.2730
    492	那么	r	333	    0.2714
    493	资金	n	333	    0.2714
    494	保持	v	332	    0.2705
    495	提供	v	332	    0.2705
    496	近	a	331	    0.2697
    497	利用	v	331	    0.2697
    498	部队	n	331	    0.2697
    499	敢	v	331	    0.2697
    500	则	d	331	    0.2697
    501	总理	n	331	    0.2697
    502	其中	r	330	    0.2689
    503	具有	v	329	    0.2681
    504	之间	n	329	    0.2681
    505	质量	n	329	    0.2681
    506	留	v	328	    0.2673
    507	发挥	v	328	    0.2673
    508	代表	n	328	    0.2673
    509	俩	m	328	    0.2673
    510	支持	v	327	    0.2665
    511	电视	n	327	    0.2665
    512	行政	n	327	    0.2665
    513	得到	v	326	    0.2657
    514	希望	v	325	    0.2648
    515	电话	n	325	    0.2648
